Summary,Precip_Type,Temperature (C),Apparent_Temperature_C,Humidity,Visibility (km),Pressure (millibars)
Overcast,snow,-2.144444444,-6.2,0.86,4.83,1025.18
Overcast,snow,-2.466666667,-4.322222222,0.89,3.8962,1023.23
Overcast,snow,-2.744444444,-2.744444444,0.89,4.3631,1025.19
Overcast,snow,-2.188888889,-2.188888889,0.88,4.3631,1025.25
Overcast,snow,-2.038888889,-2.038888889,0.87,4.7334,1024.88
Overcast,snow,-2.672222222,-5.8,0.88,4.3631,1024.87
Overcast,snow,-2.605555556,-2.605555556,0.88,4.3631,1025.15
Overcast,snow,-2.433333333,-2.433333333,0.89,3.5259,1025.79
Foggy,snow,-2.472222222,-2.472222222,0.88,2.9624,1026.03
Overcast,snow,-2.405555556,-5.461111111,0.88,4.8139,1026.23
Overcast,snow,-2.233333333,-4.305555556,0.89,5.6511,1026.5
Overcast,snow,-2.261111111,-5.816666667,0.88,6.9069,1026.52
Mostly Cloudy,snow,-1.172222222,-4.544444444,0.81,8.7423,1026.11
Mostly Cloudy,snow,-1.072222222,-2.911111111,0.82,9.9015,1025.72
Mostly Cloudy,snow,-0.033333333,-0.033333333,0.76,6.0214,1024.92
Partly Cloudy,snow,-0.033333333,-3.172222222,0.76,6.9391,1024.62
Clear,snow,-1.022222222,-3.894444444,0.82,4.7656,1024.22
Clear,snow,-2.311111111,-2.311111111,0.88,4.3953,1024.42
Mostly Cloudy,snow,-2.311111111,-5.255555556,0.88,4.3631,1024.33
Overcast,snow,-1.377777778,-4.038888889,0.89,4.6851,1024.42
Overcast,snow,-2.383333333,-6.966666667,0.88,4.7978,1024.15
Overcast,snow,-1.922222222,-5.588888889,0.88,4.347,1024.13
Overcast,snow,-1.9,-5.466666667,0.89,4.2987,1024.11
Overcast,snow,-2.383333333,-6.35,0.88,3.8479,1023.64
Overcast,snow,-2.383333333,-4.933333333,0.88,3.864,1023.5
Foggy,snow,-4.466666667,-4.466666667,0.88,2.9946,1020.93
Overcast,snow,-2.916666667,-5.488888889,0.92,3.864,1022.73
Foggy,snow,-2.894444444,-5.405555556,0.92,3.0751,1022.15
Foggy,snow,-2.877777778,-5.455555556,0.93,3.1717,1021.77
Overcast,snow,-2.916666667,-2.916666667,0.92,3.3971,1021.54
Foggy,snow,-2.938888889,-6.138888889,0.93,2.9302,1021.14
Foggy,snow,-2.888888889,-5.85,0.92,1.61,1021.06
Foggy,snow,-2.938888889,-4.938888889,0.92,1.2558,1020.95
Foggy,snow,-2.894444444,-2.894444444,0.92,0.805,1020.93
Foggy,snow,-2.938888889,-2.938888889,0.93,0.8211,1020.75
Foggy,snow,-2.894444444,-4.766666667,0.92,1.288,1020.54
Foggy,snow,-2.872222222,-2.872222222,0.92,1.449,1020.14
Foggy,snow,-2.8,-2.8,0.92,1.771,1020
Foggy,snow,-2.844444444,-4.766666667,0.92,2.2057,1019.54
Overcast,snow,-3.838888889,-3.838888889,0.92,3.4454,1019.23
Foggy,snow,-3.75,-3.75,0.92,3.1556,1019.23
Overcast,snow,-3.838888889,-7.105555556,0.85,3.8962,1019.32
Overcast,snow,-3.888888889,-3.888888889,0.92,3.9123,1019.53
Overcast,snow,-3.855555556,-6.927777778,0.92,4.1538,1019.81
Overcast,snow,-3.888888889,-7.155555556,0.92,3.9284,1019.72
Overcast,snow,-4.4,-8.705555556,0.92,3.4615,1020.03
Overcast,snow,-4.422222222,-7.183333333,0.9,3.5581,1020.22
Overcast,snow,-4.35,-4.35,0.88,3.4937,1020.23
Partly Cloudy,rain,9.216666667,8.627777778,0.9,14.6349,1014.24
Partly Cloudy,rain,8.683333333,8.2,0.9,11.6725,1014.73
Mostly Cloudy,rain,9.188888889,7.3,0.77,14.9569,1013.46
Partly Cloudy,rain,8.594444444,7.788888889,0.93,11.6725,1014.81
Partly Cloudy,rain,7.505555556,7.505555556,0.93,9.6761,1014.35
Partly Cloudy,rain,6.216666667,4.194444444,0.95,9.6922,1014.42
Foggy,rain,5.855555556,5.855555556,0.93,0.4669,1014.35
Clear,rain,5.933333333,5.933333333,1,5.8443,1014.55
Clear,rain,10.40555556,10.40555556,1,5.3935,1014.91
Partly Cloudy,rain,12.54444444,12.54444444,0.78,9.5312,1014.44
Partly Cloudy,rain,13.86111111,13.86111111,0.77,11.1251,1014.52
Partly Cloudy,rain,15.97777778,15.97777778,0.63,11.3988,1014.75
Partly Cloudy,rain,17.26666667,17.26666667,0.57,11.27,1014.41
Partly Cloudy,rain,17.84444444,17.84444444,0.5,11.27,1014.02
Partly Cloudy,rain,16.42777778,16.42777778,0.54,10.8997,1013.55
Partly Cloudy,rain,17.77777778,17.77777778,0.46,11.27,1013.02
Partly Cloudy,rain,17.84444444,17.84444444,0.45,11.27,1011.95
Partly Cloudy,rain,17.3,17.3,0.5,11.3988,1012.11
Partly Cloudy,rain,15.18333333,15.18333333,0.65,11.2056,1012.13
Mostly Cloudy,rain,13.00555556,13.00555556,0.7,15.8263,1012.52
Mostly Cloudy,rain,12.69444444,12.69444444,0.74,9.982,1013.08
Partly Cloudy,rain,12.19444444,12.19444444,0.72,9.982,1013.35
Partly Cloudy,rain,12.08333333,12.08333333,0.71,15.8263,1013.19
Partly Cloudy,rain,10.61666667,10.61666667,0.74,14.9569,1013.54
Partly Cloudy,rain,9.533333333,8.677777778,0.76,15.8263,1013.49
Mostly Cloudy,rain,9.972222222,7.966666667,0.71,15.8263,1013.41
Partly Cloudy,rain,4.911111111,4.911111111,0.91,3.4454,1015.4
Partly Cloudy,rain,7.916666667,5.855555556,0.78,15.8263,1013.19
Partly Cloudy,rain,7.383333333,4.755555556,0.82,15.8263,1012.8
Mostly Cloudy,rain,7.972222222,5.894444444,0.82,14.8764,1013.1
Overcast,rain,8.816666667,6.538888889,0.84,10.948,1013.14
Mostly Cloudy,rain,8.794444444,5.555555556,0.84,10.948,1013.64
Overcast,rain,7.888888889,4.088888889,0.89,11.2056,1014.12
Overcast,rain,7.8,4.333333333,0.96,7.9695,1014.48
Overcast,rain,7.822222222,5.35,0.95,6.118,1014.97
Overcast,rain,7.944444444,6.233333333,0.95,10.0625,1015.66
Overcast,rain,8.077777778,5.455555556,0.94,11.27,1015.89
Overcast,rain,10.22777778,10.22777778,0.81,11.27,1015.69
Overcast,rain,11.36111111,11.36111111,0.74,11.0768,1015.59
Mostly Cloudy,rain,12.45,12.45,0.7,11.27,1015.24
Partly Cloudy,rain,12.91666667,12.91666667,0.67,11.2056,1014.77
Partly Cloudy,rain,12.55,12.55,0.62,11.3988,1014.73
Partly Cloudy,rain,12.38333333,12.38333333,0.69,11.2056,1014.49
Partly Cloudy,rain,10.22777778,10.22777778,0.75,11.2056,1014.7
Partly Cloudy,rain,9.227777778,7.811111111,0.78,9.982,1015.38
Clear,rain,7.827777778,6.622222222,0.87,9.982,1015.81
Clear,rain,6.677777778,5.727777778,0.91,15.8263,1015.89
Clear,rain,6.122222222,4.938888889,0.91,14.168,1015.9
Partly Cloudy,rain,5.327777778,4.15,0.95,8.1305,1015.92
Clear,rain,4.355555556,1.705555556,0.95,3.3649,1015.89
Mostly Cloudy,rain,9.272222222,9.272222222,0.89,15.0052,1007.55
Partly Cloudy,rain,4.261111111,2.866666667,0.92,4.7495,1015.21
Partly Cloudy,rain,3.216666667,1.666666667,0.92,5.2164,1015.18
Partly Cloudy,rain,3.905555556,2.516666667,0.92,5.9248,1014.89
Foggy,rain,2.711111111,0.472222222,0.96,0.5152,1014.29
Foggy,rain,3.816666667,2.644444444,1,2.737,1014.35
Clear,rain,6.883333333,5.105555556,0.93,5.6833,1014
Mostly Cloudy,rain,8.938888889,6.533333333,0.88,11.2056,1013.53
Mostly Cloudy,rain,11.20555556,11.20555556,0.79,9.982,1013.05
Mostly Cloudy,rain,12.85,12.85,0.7,11.0285,1012.74
Mostly Cloudy,rain,13.96111111,13.96111111,0.63,11.2056,1011.92
Mostly Cloudy,rain,14.97777778,14.97777778,0.51,11.2056,1010.87
Overcast,rain,14.02777778,14.02777778,0.57,11.3988,1009.99
Mostly Cloudy,rain,15.02222222,15.02222222,0.51,11.2056,1008.85
Mostly Cloudy,rain,15.04444444,15.04444444,0.54,9.982,1007.74
Overcast,rain,15.08888889,15.08888889,0.5,10.3523,1007.07
Overcast,rain,14.95,14.95,0.51,11.2056,1006.26
Overcast,rain,13.81666667,13.81666667,0.59,11.2056,1005.77
Overcast,rain,12.91666667,12.91666667,0.64,9.982,1005.19
Overcast,rain,13.83888889,13.83888889,0.59,11.2056,1004.85
Overcast,rain,12.75555556,12.75555556,0.69,15.8263,1005.49
Overcast,rain,12.65,12.65,0.74,14.8764,1005.64
Overcast,rain,11.68888889,11.68888889,0.8,15.7297,1005.45
Overcast,rain,10.62777778,10.62777778,0.88,15.7297,1005.65
Overcast,rain,5.666666667,3.755555556,0.91,9.9015,1012.87
Overcast,rain,10.05,10.05,0.92,14.9569,1006.34
Overcast,rain,9.977777778,9.977777778,0.93,11.9784,1006.47
Overcast,rain,9.777777778,9.377777778,0.95,6.6976,1007.16
Overcast,rain,8.661111111,8.661111111,0.99,10.8836,1007.18
Overcast,rain,7.55,4.261111111,0.95,3.9767,1007.86
Overcast,rain,7.233333333,4.683333333,0.93,3.6708,1008.4
Overcast,rain,6.044444444,2.011111111,0.92,3.7513,1008.86
Overcast,rain,6.094444444,2.233333333,0.85,11.1251,1009.1
Overcast,rain,6.116666667,2.25,0.82,7.1484,1010.06
Overcast,rain,6.066666667,2.705555556,0.86,7.9051,1010.67
Overcast,rain,6.038888889,2.711111111,0.93,10.9802,1011.06
Overcast,rain,6.888888889,3.205555556,0.93,9.9498,1011.03
Overcast,rain,7.061111111,4.15,0.86,7.9695,1011.14
Overcast,rain,6.038888889,2.344444444,0.93,11.1251,1011.61
Overcast,rain,6.072222222,2.305555556,0.93,10.4167,1011.86
Overcast,rain,5.044444444,1.055555556,0.93,8.1949,1011.93
Overcast,rain,5.022222222,1.944444444,0.92,8.05,1012.4
Overcast,rain,5.033333333,1.816666667,0.93,7.3738,1013.23
Overcast,rain,5,2.438888889,0.93,11.0446,1013.8
Overcast,rain,4.977777778,1.877777778,0.93,8.05,1014.08
Overcast,rain,4.933333333,1.538888889,0.87,9.016,1013.96
Overcast,rain,4.466666667,1.277777778,0.92,9.9015,1013.9
Overcast,rain,4.444444444,1.194444444,0.92,9.9015,1014.39
Clear,rain,4.011111111,1.044444444,0.83,13.9104,1016.82
Overcast,rain,4.905555556,1.844444444,0.86,9.9015,1014.18
Overcast,rain,4.883333333,2.35,0.83,9.9015,1014.27
Overcast,rain,4.388888889,1.277777778,0.89,9.016,1014.14
Overcast,rain,4.838888889,1.288888889,0.86,11.1251,1014.11
Overcast,rain,4.811111111,1.483333333,0.83,9.982,1014.41
Mostly Cloudy,rain,4.944444444,1.244444444,0.84,9.982,1014.9
Mostly Cloudy,rain,7.2,4.166666667,0.65,9.982,1014.98
Partly Cloudy,rain,7.777777778,5.022222222,0.67,11.2056,1014.97
Mostly Cloudy,rain,8.727777778,6.65,0.64,11.4471,1015.52
Mostly Cloudy,rain,8.983333333,6.055555556,0.57,11.2056,1015.64
Partly Cloudy,rain,10,7.1,0.5,11.2056,1015.72
Mostly Cloudy,rain,10.09444444,10.09444444,0.55,11.3988,1015.47
Partly Cloudy,rain,11.06111111,11.06111111,0.46,11.2056,1015.24
Partly Cloudy,rain,10.13888889,10.13888889,0.42,11.2056,1015.14
Partly Cloudy,rain,11.01111111,11.01111111,0.42,11.3988,1015.13
Partly Cloudy,rain,10.11666667,10.11666667,0.49,11.2056,1015.39
Partly Cloudy,rain,7.916666667,7.916666667,0.57,11.2056,1015.7
Partly Cloudy,rain,7.333333333,7.333333333,0.63,11.0285,1016.2
Partly Cloudy,rain,5.05,5.05,0.75,11.2056,1016.83
Clear,rain,3.933333333,2.422222222,0.76,15.8263,1017.12
Partly Cloudy,rain,4.094444444,2.583333333,0.77,14.9569,1017.38
Partly Cloudy,rain,3.8,2.288888889,0.82,15.7297,1017.32
Clear,rain,2.688888889,-0.155555556,0.85,6.118,1017.42
Clear,rain,5.066666667,3.938888889,0.81,14.9569,1018.24
Clear,rain,2.6,0.961111111,0.85,15.6492,1017.33
Partly Cloudy,rain,1.583333333,-0.161111111,0.92,14.7315,1017.53
Partly Cloudy,rain,2.155555556,2.155555556,0.9,13.6528,1017.7
Clear,rain,0.955555556,0.955555556,0.92,6.118,1017.84
Clear,rain,0.955555556,0.955555556,0.92,4.5885,1018.13
Clear,rain,5.594444444,5.594444444,0.82,5.8765,1018.47
Clear,rain,9.822222222,7.777777778,0.66,9.982,1018.32
Clear,rain,11.07222222,11.07222222,0.54,9.982,1018.59
Partly Cloudy,rain,11.05555556,11.05555556,0.48,11.0285,1018.68
Partly Cloudy,rain,12.24444444,12.24444444,0.43,11.2056,1018.49
Partly Cloudy,rain,12.85,12.85,0.41,11.2056,1018.38
Partly Cloudy,rain,12.88888889,12.88888889,0.38,10.3523,1018.35
Partly Cloudy,rain,12.91666667,12.91666667,0.4,9.982,1017.58
Partly Cloudy,rain,13.88888889,13.88888889,0.46,9.982,1017.37
Partly Cloudy,rain,13.02222222,13.02222222,0.48,10.3523,1017.37
Clear,rain,12.38333333,12.38333333,0.49,9.982,1017.24
Clear,rain,10.20555556,10.20555556,0.57,9.982,1017.45
Clear,rain,9.144444444,8.088888889,0.62,9.982,1017.83
Clear,rain,7.827777778,6.1,0.68,9.982,1018.17
Clear,rain,7.733333333,6.672222222,0.65,15.8263,1018.28
Clear,rain,7.144444444,6.138888889,0.69,14.9569,1018.37
Clear,rain,6.016666667,4.783333333,0.74,15.8263,1018.39
Clear,rain,5.461111111,4.077777778,0.76,15.8263,1018.49
Partly Cloudy,rain,8.244444444,5.988888889,0.72,14.9569,1015.16
Clear,rain,3.838888889,2.194444444,0.82,15.8263,1018.18
Clear,rain,2.244444444,2.244444444,0.91,14.9086,1018.29
Clear,rain,2.022222222,0.227777778,0.93,11.2539,1018.28
Clear,rain,2.172222222,-0.866666667,0.92,5.0393,1018.08
Clear,rain,3.661111111,0.911111111,0.89,6.9874,1018.6
Clear,rain,6.111111111,3.638888889,0.79,9.5473,1018.66
Partly Cloudy,rain,10.00555556,10.00555556,0.66,9.982,1018.38
Clear,rain,12.24444444,12.24444444,0.52,9.982,1018.46
Clear,rain,12.93888889,12.93888889,0.5,9.982,1018.34
Partly Cloudy,rain,13.98333333,13.98333333,0.5,9.982,1017.86
Partly Cloudy,rain,15.09444444,15.09444444,0.44,9.982,1017.26
Partly Cloudy,rain,16.25,16.25,0.43,15.3111,1016.76
Mostly Cloudy,rain,17.26666667,17.26666667,0.41,9.982,1016.04
Mostly Cloudy,rain,17.28888889,17.28888889,0.38,9.982,1015.06
Overcast,rain,17.38888889,17.38888889,0.37,10.3523,1014.68
Mostly Cloudy,rain,17.28888889,17.28888889,0.38,9.982,1014.36
Partly Cloudy,rain,15.08888889,15.08888889,0.44,9.982,1014.16
Partly Cloudy,rain,11.71111111,11.71111111,0.58,9.982,1014.36
Partly Cloudy,rain,11.16111111,11.16111111,0.61,9.982,1014.6
Partly Cloudy,rain,10.02777778,10.02777778,0.68,15.8263,1014.69
Partly Cloudy,rain,10.13888889,10.13888889,0.65,14.9569,1014.51
Partly Cloudy,rain,10.42222222,10.42222222,0.62,15.8263,1014.4
Partly Cloudy,rain,9.911111111,7.566666667,0.66,15.8263,1014.2
Mostly Cloudy,rain,11.18333333,11.18333333,0.8,14.9569,1008.71
Partly Cloudy,rain,7.155555556,5.044444444,0.79,15.8263,1014.47
Partly Cloudy,rain,6.111111111,4.816666667,0.82,15.8263,1014.45
Partly Cloudy,rain,6.788888889,4.272222222,0.83,14.9569,1014.49
Mostly Cloudy,rain,7.261111111,5.155555556,0.85,6.1985,1014.52
Mostly Cloudy,rain,7.8,5.527777778,0.83,8.05,1014.16
Mostly Cloudy,rain,9.872222222,7.933333333,0.78,9.982,1014.24
Mostly Cloudy,rain,12.22222222,12.22222222,0.72,9.982,1014.25
Mostly Cloudy,rain,15.09444444,15.09444444,0.61,9.982,1013.96
Mostly Cloudy,rain,17.35555556,17.35555556,0.52,9.982,1013.85
Mostly Cloudy,rain,19.00555556,19.00555556,0.46,9.982,1013.04
Mostly Cloudy,rain,20.04444444,20.04444444,0.4,9.982,1012.22
Mostly Cloudy,rain,21.05,21.05,0.4,10.3523,1011.44
Mostly Cloudy,rain,21.18333333,21.18333333,0.37,9.982,1010.52
Mostly Cloudy,rain,20.11666667,20.11666667,0.4,9.982,1009.83
Mostly Cloudy,rain,20.21666667,20.21666667,0.36,10.3523,1009.26
Mostly Cloudy,rain,20,20,0.43,9.982,1008.76
Mostly Cloudy,rain,17.8,17.8,0.5,11.2056,1008.36
Mostly Cloudy,rain,16.06111111,16.06111111,0.53,9.982,1008.11
Mostly Cloudy,rain,15.02222222,15.02222222,0.55,9.982,1008.15
Overcast,rain,14.42222222,14.42222222,0.58,15.8263,1007.85
Overcast,rain,14.25555556,14.25555556,0.59,14.9569,1007.89
Overcast,rain,13.77222222,13.77222222,0.6,15.8263,1007.36
Overcast,rain,13.28333333,13.28333333,0.63,15.8263,1007.26
Overcast,rain,8.633333333,5.466666667,0.87,6.6976,1005.1
Overcast,rain,11.25,11.25,0.83,15.8263,1007.01
Overcast,rain,11.18333333,11.18333333,0.89,9.9015,1006.73
Overcast,rain,10.69444444,10.69444444,0.95,6.6976,1006.59
Mostly Cloudy,rain,11.11111111,11.11111111,0.93,5.9731,1006.34
Mostly Cloudy,rain,11.11111111,11.11111111,0.93,10.8031,1006.09
Partly Cloudy,rain,12.16666667,12.16666667,0.82,10.6743,1005.97
Partly Cloudy,rain,12.75555556,12.75555556,0.79,10.8192,1005.63
Partly Cloudy,rain,13.83888889,13.83888889,0.84,10.8192,1005.83
Partly Cloudy,rain,16.18333333,16.18333333,0.73,10.7548,1005.97
Mostly Cloudy,rain,17.51666667,17.51666667,0.67,10.8997,1005.64
Mostly Cloudy,rain,17.38333333,17.38333333,0.67,10.8514,1005.2
Mostly Cloudy,rain,17.36111111,17.36111111,0.71,11.0768,1005.1
Mostly Cloudy,rain,17.20555556,17.20555556,0.74,10.8514,1004.65
Mostly Cloudy,rain,15.63333333,15.63333333,0.81,10.8836,1004.04
Overcast,rain,13.57777778,13.57777778,0.9,7.6153,1004.08
Foggy,rain,10.91111111,10.91111111,0.86,2.6565,1004.61
Foggy,rain,8.8,5.294444444,0.99,2.6565,1004.99
Overcast,rain,8.961111111,5.777777778,0.93,3.8157,1004.85
Overcast,rain,8.2,4.605555556,0.96,4.4919,1004.96
Overcast,rain,7.688888889,3.722222222,0.96,4.4436,1005.14
Overcast,rain,7.766666667,4.65,0.96,5.6833,1005.05
Foggy,rain,8.2,5.072222222,0.96,3.1073,1004.8
Foggy,rain,8.177777778,4.372222222,0.93,3.2039,1004.89
Mostly Cloudy,rain,7.311111111,6.183333333,0.82,14.0553,1007
Overcast,rain,7.644444444,5.038888889,0.93,6.118,1004.3
Overcast,rain,6.622222222,2.616666667,0.93,6.118,1003.68
Overcast,rain,6.683333333,3.222222222,0.93,6.1663,1003.86
Overcast,rain,6.088888889,1.65,0.93,7.9695,1003.57
Overcast,rain,6.066666667,1.633333333,0.93,6.3434,1003.96
Breezy and Mostly Cloudy,rain,6.144444444,1.494444444,0.93,10.5455,1004.1
Breezy and Mostly Cloudy,rain,7.133333333,2.688888889,0.8,11.2056,1004.26
Overcast,rain,7.205555556,3.233333333,0.86,11.27,1004.18
Mostly Cloudy,rain,7.566666667,3.544444444,0.84,10.5455,1004.23
Mostly Cloudy,rain,8.9,5.161111111,0.77,11.27,1004.47
Mostly Cloudy,rain,9.961111111,6.644444444,0.71,11.27,1004.52
Mostly Cloudy,rain,9.888888889,6.55,0.71,11.0768,1004.29
Mostly Cloudy,rain,11.06666667,11.06666667,0.71,11.27,1003.93
Overcast,rain,10.11666667,10.11666667,0.76,11.27,1004
Overcast,rain,11.03888889,11.03888889,0.66,9.982,1004.3
Overcast,rain,10.65,10.65,0.7,14.9086,1004
Overcast,rain,10.05,10.05,0.7,9.982,1004.39
Mostly Cloudy,rain,9.9,7.716666667,0.66,11.0285,1005.48
Overcast,rain,8.794444444,6.816666667,0.71,9.982,1005.89
Mostly Cloudy,rain,7.827777778,5.405555556,0.72,15.8263,1006.37
Overcast,rain,7.855555556,6.122222222,0.72,15.0052,1006.56
Mostly Cloudy,rain,7.316666667,6.211111111,0.75,15.8746,1007.07
Overcast,rain,7.244444444,6.005555556,0.75,15.8746,1007.37
Partly Cloudy,rain,5.438888889,5.438888889,0.88,9.982,1012.23
Overcast,rain,7.2,4.55,0.76,15.8263,1007.28
Overcast,rain,6.688888889,3.161111111,0.7,15.8263,1007.18
Overcast,rain,6.211111111,2.694444444,0.73,14.9569,1007.39
Overcast,rain,6.111111111,2.8,0.76,9.982,1007.67
Overcast,rain,6.111111111,2.438888889,0.76,9.982,1007.98
Overcast,rain,6.172222222,2.922222222,0.76,9.982,1008.57
Overcast,rain,7.222222222,3.833333333,0.71,9.982,1008.87
Overcast,rain,7.288888889,4.244444444,0.73,9.982,1009.44
Overcast,rain,7.405555556,4.816666667,0.72,9.982,1010.03
Overcast,rain,7.961111111,6.072222222,0.7,10.0464,1010.22
Overcast,rain,8.033333333,7.583333333,0.7,10.0464,1010.39
Overcast,rain,9.077777778,9.077777778,0.65,10.0303,1010.24
Overcast,rain,9.05,9.05,0.62,9.982,1010
Overcast,rain,9.05,9.05,0.65,11.2056,1009.98
Overcast,rain,9.183333333,9.183333333,0.65,11.0285,1010.05
Overcast,rain,9.072222222,7.455555556,0.7,9.982,1010.1
Overcast,rain,7.983333333,6.811111111,0.75,9.982,1010.39
Overcast,rain,8.072222222,6.433333333,0.75,9.982,1010.91
Overcast,rain,7.894444444,6.127777778,0.82,9.982,1011.32
Overcast,rain,7.311111111,4.805555556,0.83,11.9784,1011.61
Mostly Cloudy,rain,7.338888889,5.183333333,0.84,14.168,1011.97
Mostly Cloudy,rain,6.622222222,4.111111111,0.85,14.9086,1012.22
Partly Cloudy,rain,6.066666667,3.411111111,0.88,14.9086,1012.74
Partly Cloudy,rain,8.338888889,8.338888889,0.88,15.0052,1015.35
Mostly Cloudy,rain,5.183333333,4.111111111,0.91,9.982,1013.29
Mostly Cloudy,rain,3.722222222,2.566666667,0.94,9.982,1013.39
Mostly Cloudy,rain,4.855555556,3.705555556,0.93,5.9248,1013.45
Foggy,rain,5.211111111,5.211111111,0.92,1.2236,1013.4
Overcast,rain,6.255555556,4.638888889,0.92,7.2128,1013.81
Mostly Cloudy,rain,7.794444444,6.055555556,0.87,10.6743,1014.7
Mostly Cloudy,rain,10.05,10.05,0.76,11.2056,1014.67
Mostly Cloudy,rain,12.2,12.2,0.66,9.982,1014.66
Mostly Cloudy,rain,12.7,12.7,0.63,11.0285,1014.8
Partly Cloudy,rain,13.93333333,13.93333333,0.58,11.27,1014.47
Partly Cloudy,rain,15.09444444,15.09444444,0.59,11.27,1014.16
Mostly Cloudy,rain,15.15,15.15,0.5,11.4471,1014.07
Partly Cloudy,rain,16.17777778,16.17777778,0.44,11.27,1013.34
Partly Cloudy,rain,16.25,16.25,0.55,11.27,1012.72
Partly Cloudy,rain,16.29444444,16.29444444,0.5,11.4471,1012.38
Partly Cloudy,rain,16.1,16.1,0.56,11.1251,1012.38
Partly Cloudy,rain,12.95555556,12.95555556,0.68,11.27,1012.72
Mostly Cloudy,rain,13.85,13.85,0.64,11.4471,1013.42
Mostly Cloudy,rain,12.77777778,12.77777778,0.69,10.0464,1014.41
Mostly Cloudy,rain,12.15,12.15,0.72,15.8746,1014.89
Mostly Cloudy,rain,10.67777778,10.67777778,0.81,15.0052,1014.91
Mostly Cloudy,rain,10.44444444,10.44444444,0.83,15.8746,1014.75
Mostly Cloudy,rain,9.822222222,9.466666667,0.8,15.8746,1015.55
Mostly Cloudy,rain,11.02777778,11.02777778,0.74,14.9569,1015.7
Mostly Cloudy,rain,7.138888889,7.138888889,0.93,14.9086,1016.43
Mostly Cloudy,rain,7.622222222,5.644444444,0.89,14.9086,1016.56
Mostly Cloudy,rain,7.627777778,6.611111111,0.86,13.3791,1017.15
Mostly Cloudy,rain,7.044444444,4.855555556,0.86,9.982,1017.37
Partly Cloudy,rain,8.6,7.038888889,0.84,9.982,1018.25
Partly Cloudy,rain,9.65,7.383333333,0.84,9.982,1019.24
Partly Cloudy,rain,12.10555556,12.10555556,0.72,9.982,1019.83
Partly Cloudy,rain,12.77777778,12.77777778,0.71,11.2056,1020.51
Partly Cloudy,rain,13.81111111,13.81111111,0.65,11.4471,1020.91
Partly Cloudy,rain,16.01666667,16.01666667,0.48,11.27,1020.6
Partly Cloudy,rain,17.12777778,17.12777778,0.47,11.27,1020.39
Partly Cloudy,rain,17.14444444,17.14444444,0.43,11.4471,1020.34
Mostly Cloudy,rain,17.77777778,17.77777778,0.4,11.2056,1019.7
Mostly Cloudy,rain,17.77777778,17.77777778,0.37,11.2056,1018.89
Mostly Cloudy,rain,17.80555556,17.80555556,0.43,10.3523,1018.48
Mostly Cloudy,rain,16.15555556,16.15555556,0.52,9.982,1017.87
Mostly Cloudy,rain,14.05,14.05,0.63,9.982,1017.56
Mostly Cloudy,rain,13.08888889,13.08888889,0.67,9.982,1017.38
Mostly Cloudy,rain,12.28888889,12.28888889,0.72,9.982,1017.58
Overcast,rain,12.77777778,12.77777778,0.66,15.8263,1017.65
Overcast,rain,12.72777778,12.72777778,0.67,14.9569,1017.36
Overcast,rain,12.26666667,12.26666667,0.69,15.8263,1016.8
Overcast,rain,11.71111111,11.71111111,0.71,15.8263,1016.64
Partly Cloudy,rain,10.82777778,10.82777778,0.86,14.168,1013.13
